sn89066129	The Laclede blade	Weekly	A.J. Caywood	Laclede	MO	Laclede, MO	37.658	-92.59	QUERIED, found	http://www.geonames.org/search.html?q=Laclede%2C+MO&country=US	/maps/google_37.658_-92.59.html	https://chroniclingamerica.loc.gov/lccn/sn89066129/
sn93061711	The Tucumcari news and Tucumcari times	Weekly	The Tucumcari Print. Co	Tucumcari	NM	Tucumcari, NM	35.17191	-103.72686	RDF	http://sws.geonames.org/5495360/		https://chroniclingamerica.loc.gov/lccn/sn93061711/
sn91068158	The French Broad hustler	Weekly	Shipman & Osborne Co	Hendersonville	NC	Hendersonville, NC	35.319	-82.461	QUERIED, found	http://www.geonames.org/search.html?q=Hendersonville%2C+NC&country=US	/maps/google_35.319_-82.461.html	https://chroniclingamerica.loc.gov/lccn/sn91068158/
sn83045436	La voz del pueblo	Weekly	NOTFOUND			Santa Fe, Nuevo México	35.68698	-105.9378	RDF	http://sws.geonames.org/5490263/		https://chroniclingamerica.loc.gov/lccn/sn83045436/
sn90061309	Monroe City Democrat	Weekly	Democrat Print. Co	Monroe City	MO	Monroe City, MO	39.654	-91.735	QUERIED, found	http://www.geonames.org/search.html?q=Monroe+City%2C+MO&country=US	/maps/google_39.654_-91.735.html	https://chroniclingamerica.loc.gov/lccn/sn90061309/
sn85034357	Clinch Valley news	Weekly	James C. Nutty	Jeffersonville	VA	Jeffersonville, VA	37.11484	-81.51955	RDF	http://sws.geonames.org/4788966/		https://chroniclingamerica.loc.gov/lccn/sn85034357/
sn84020751	Goldsboro weekly argus	Weekly	Joseph E. Robinson	Goldsboro	NC	Goldsboro, NC	35.385	-77.993	QUERIED, found	http://www.geonames.org/search.html?q=Goldsboro%2C+NC&country=US	/maps/google_35.385_-77.993.html	https://chroniclingamerica.loc.gov/lccn/sn84020751/
sn93061467	Las Nuevas de la Estancia	Weekly	P.A. Speckmann			Estancia, Nuevo Méjico	34.75839	-106.05585	RDF	http://sws.geonames.org/5467102/		https://chroniclingamerica.loc.gov/lccn/sn93061467/
sn84028490	The Stark County Democrat	Weekly	W. & G. Dunbar, Jr	Canton	OH	Canton, OH	40.79895	-81.37845	RDF	http://sws.geonames.org/5149222/		https://chroniclingamerica.loc.gov/lccn/sn84028490/
sn93067760	The Laurens advertiser	Semiweekly	J.C. Garlington and Co	Laurens	SC	Laurens, SC	34.484	-82.006	QUERIED, found	http://www.geonames.org/search.html?q=Laurens%2C+SC&country=US	/maps/google_34.484_-82.006.html	https://chroniclingamerica.loc.gov/lccn/sn93067760/
sn92053934	Rock Island Argus	Daily	J.W. Potter	Rock Island	IL	Rock Island, IL	41.509	-90.579	QUERIED, found	http://www.geonames.org/search.html?q=Rock+Island%2C+IL&country=US	/maps/google_41.509_-90.579.html	https://chroniclingamerica.loc.gov/lccn/sn92053934/
sn89067390	The Taney County republican	Weekly	Price & Williams	Forsyth	MO	Forsyth, MO	36.685	-93.12	QUERIED, found	http://www.geonames.org/search.html?q=Forsyth%2C+MO&country=US	/maps/google_36.685_-93.12.html	https://chroniclingamerica.loc.gov/lccn/sn89067390/
sn89065008	The commonwealth	Weekly	Commonwealth Pub. Co	Greenwood	MS	Greenwood, MS	33.516	-90.18	QUERIED, found	http://www.geonames.org/search.html?q=Greenwood%2C+MS&country=US	/maps/google_33.516_-90.18.html	https://chroniclingamerica.loc.gov/lccn/sn89065008/
sn86058242	The Lake County times	Daily	NOTFOUND	Hammond	IN	Hammond, IN	41.58337	-87.50004	RDF	http://sws.geonames.org/4921100/		https://chroniclingamerica.loc.gov/lccn/sn86058242/
sn84026907	The Lexington dispatch	Weekly	NOTFOUND	Lexington	SC	Lexington, SC	33.993	-81.074	QUERIED, found	http://www.geonames.org/search.html?q=Lexington%2C+SC&country=US	/maps/google_33.993_-81.074.html	https://chroniclingamerica.loc.gov/lccn/sn84026907/
sn85042400	The morning Astorian	Daily	Astorian Pub. Co	Astoria	OR	Astoria, OR	46.18788	-123.83125	RDF	http://sws.geonames.org/5711847/		https://chroniclingamerica.loc.gov/lccn/sn85042400/
sn88065731	The daily banner	Daily	Harrington Henry & Co	Cambridge	MD	Cambridge, MD	38.56317	-76.07883	RDF	http://sws.geonames.org/4350175/		https://chroniclingamerica.loc.gov/lccn/sn88065731/
sn94056446	The Falls City tribune	Weekly	Ross & Ray	Falls City	NE	Falls City, NE	40.061	-95.602	QUERIED, found	http://www.geonames.org/search.html?q=Falls+City%2C+NE&country=US	/maps/google_40.061_-95.602.html	https://chroniclingamerica.loc.gov/lccn/sn94056446/
sn87065163	Hattiesburg daily news	Daily	Hattiesburg Print. & Pub. Co	Hattiesburg	MS	Hattiesburg, MS	31.32712	-89.29034	RDF	http://sws.geonames.org/4429295/		https://chroniclingamerica.loc.gov/lccn/sn87065163/
sn86069458	Crittenden record=press	Weekly	S.M. Jenkins	Marion	KY	Marion, KY	37.33283	-88.08113	RDF	http://sws.geonames.org/4299842/		https://chroniclingamerica.loc.gov/lccn/sn86069458/
sn96027438	The university news	Semimonthly	[s.n.]	Gainesville	FL	Gainesville, FL	29.65163	-82.32483	RDF	http://sws.geonames.org/4156404/		https://chroniclingamerica.loc.gov/lccn/sn96027438/
sn90061052	The Jasper news	Weekly	Lynn Monroe	Jasper	MO	Jasper, MO	37.084	-94.513	QUERIED, found	http://www.geonames.org/search.html?q=Jasper%2C+MO&country=US	/maps/google_37.084_-94.513.html	https://chroniclingamerica.loc.gov/lccn/sn90061052/
sn85042373	The evening times	Daily	Times Pub. Co	Grand Forks	ND	Grand Forks, ND	47.92526	-97.03285	RDF	http://sws.geonames.org/5059429/		https://chroniclingamerica.loc.gov/lccn/sn85042373/
